id,nombre,codigo
525,Estudio Didáctico,DLV00040007
526,Eumo Editorial SAU,DLV00007341
527,Eurytion Press  S.L.,DLV00093615
528,Everest Galicia,DLV00000603
529,ExLibric,DLV00016861
530,Express Publishing,DLV00101095
531,FC Editorial,DLV00014161
532,Faktoría K de Libros,DLV00009601
533,Fanbooks,DLV00014641
534,Fandom Books,DLV00102615
535,Fantascy,DLV00015163
536,Farell Editors,DLV00011121
537,Federación de Gremios de Editores de España,DLV00055803
538,Flash,DLV00014081
539,Flow Press Media SL,DLV00082643
540,Fondo de Cultura Económica de España  S.L.,DLV00001464
541,Fragmenta Editorial  SL,DLV00002701
542,Fulgencio Pimentel S.L.,DLV00014381
543,Fundación Anastasio de Gracia-Fitel,DLV00024845
544,Fundación BBVA,DLV00027787
545,Fundación Barrié,DLV00006721
546,Fundación Berg Oceana Aufklarung - Berg Institute,DLV00034085
547,Fundación Centro de Estudios Andaluces,DLV00005781
548,Fundación Germán Sánchez Ruipérez,DLV00003781
549,Fundación José Manuel Lara,DLV00013041
550,Fundación María Jesús Soto,DLV00077866
551,Fundación San Millán de la Cogolla,DLV00036344
552,Fundación Santa María la Real Centro de Estudios del Románico,DLV00007121
553,Fundación Santa María-Ediciones SM,DLV00000345
554,Fundación Universitaria San Pablo CEU,DLV00006261
555,Fundación Vértice Emprende,DLV00011681
556,Fundación Wolters Kluwer,DLV00008441
557,Fórcola Ediciones,DLV00007481
558,GIUNTIEOS Psychometrics SL.,DLV00003763
559,Gadir Editorial  S.L.,DLV00004382
560,Gaia Ediciones,DLV00006844
561,Galaxia Gutenberg  S.L.,DLV00010421
562,Galaxy Press  LLC.,DLV00053749
563,Galería H2O,DLV00068284
564,Gallo Nero Ediciones,DLV00012141
565,Generalitat de Catalunya,DLV00012261
566,Genueve Ediciones,DLV00064994
567,Gestión 2000,DLV00004585
568,Giltza,DLV00002601
569,Godall Edicions SL,DLV00041107
570,Gran Travesía,DLV00030229
571,Gredos,DLV00005981
572,Gribaudo,DLV00080605
573,Grijalbo,DLV00003563
574,Grijalbo Ilustrados,DLV00003682
575,Grup Promotor  S.L.,DLV00000442
576,Grupo Cero,DLV00000941
577,Guadalmazán,DLV00014801
578,Guadiel,DLV00001761
579,Guantanamera,DLV00079485
580,Gulaab,DLV00006845
581,Gunis Media S.L.,DLV00100359
582,Guías Azules de España  S.A.,DLV00013301
583,Guías Kokonino,DLV00010561
584,Hachette,DLV00070664
585,Harlequin Ibérica,DLV00013841
586,Harper Bolsillo,DLV00083220
587,Harper Collins,DLV00020645
588,HarperCollins,DLV00052624
589,HarperKids,DLV00083423
590,Hiperión,DLV00016181
591,Hispania Libros,DLV00002481
592,Hispano Editores,DLV00005301
593,Hojas de Luz,DLV00011362
594,Holobionte Ediciones,DLV00090937
595,Hueber Verlag GMBH & Co. KG,DLV00014902
596,Hércules de Ediciones S.L.,DLV00000741
597,IC Editorial,DLV00001742
598,ICEX España Exportación e Inversiones,DLV00015841
599,Ibergarceta Publicaciones S.L.,DLV00015462
600,Ibergarceta Publicaciones S.L.,DLV00015462
601,Iberoamericana Editorial Vervuert  S.L.,DLV00002147
602,Ideaspropias Editorial,DLV00009921
603,Ikaselkar,DLV00011261
604,Ikasmina Argitaletxea  S.L.,DLV00004103
605,Impedimenta,DLV00006941
606,Imágica Ediciones  S.L.,DLV00013541
607,Incipit,DLV00004741
608,Indicator (Lefebvre-El Derecho  S.A.),DLV00074484
609,Indicios,DLV00011761
610,Institució Alfons el Magnànim,DLV00036362
611,Institut d'Estudis Catalans,DLV00015761
612,Institut d'Estudis Catalans,DLV00015761
613,Instituto Complutense de Ciencias Musicales,DLV00036903
614,Instituto Español de Oceanografía,DLV00018165
615,Instituto Geológico y Minero de España,DLV00010281
616,Instituto Monsa de Ediciones  S.A.,DLV00006562
617,Instituto Nacional de Administración Pública,DLV00015901
618,Instituto Nacional de Estadística,DLV00028010
619,Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria (INIA),DLV00015801
620,Instituto Nacional de las Artes Escénicas y de la Música (INAEM),DLV00015226
621,Instituto de Contabilidad y Auditoria de Cuentas (ICAC),DLV00015861
622,Instituto de Estudios Altoaragoneses,DLV00005703
623,Instituto de Estudios Económicos,DLV00000704
624,Instituto de Estudios Fiscales,DLV00017023
625,Instituto de Salud Carlos III,DLV00019246
626,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),DLV00015225
627,Instituto de la Mujer y para la Igualdad de Oportunidades,DLV00016261
628,Interconsulting Bureau  S.L. (ICB Editores),DLV00009381
629,Interfolio SL,DLV00008201
630,Ipso Ediciones,DLV00084695
631,J.M. Bosch Editor,DLV00009201
632,JPM Ediciones,DLV00012242
633,Kailas Editorial  S.L.,DLV00001465
634,Kakao Books - Libros por la Diversidad,DLV00099616
635,Kalandraka Catalunya,DLV00068492
636,Kalandraka Editora,DLV00000731
637,Kalandraka Editora S.L.,DLV00001841
638,Kami Ediciones,DLV00097855
639,Karma 7,DLV00006846
640,Katakrak,DLV00073825
641,Kepler,DLV00039943
642,Kepler Argentina,DLV00045603
643,Khaf (Edelvives),DLV00008901
644,Kitsune Books,DLV00067984
645,Kns Ediciones,DLV00009881
646,Kolima,DLV00017001
647,L'Altra Editorial,DLV00017061
648,L'Art de la Memòria Edicions,DLV00096515
649,L'Avenç  S.L.,DLV00019981
650,LID Editorial Empresarial  S.L.,DLV00000706
651,La Caja Books,DLV00090136
652,La Campana Llibres S.L.,DLV00070963
653,La Coccinella,DLV00098071
654,La Esfera de los Libros  S.L.,DLV00015002
655,La Fertilidad de la Tierra Ediciones,DLV00036512
656,La Fábrica Editorial,DLV00002341
657,La Galera  SAU,DLV00005881
658,La Ley,DLV00000551
659,La Línea del Horizonte Ediciones,DLV00016221
660,La Osa Menor,DLV00007983
661,La Vocal de Lis  S.C.P.,DLV00064633
662,Laberinto,DLV00001202
663,Laertes Editorial  S.L.,DLV00001001
664,Lantia Publishing,DLV00066156
665,Larousse,DLV00003722
666,Lata de Sal Editorial S.L.,DLV00015321
667,Lectio Ediciones,DLV00008301
668,Lectura Plus,DLV00011004
669,Lefebvre-El Derecho  S.A.,DLV00073223
670,Lengua de Trapo,DLV00004341
671,Les Editorial,DLV00088056
672,Lex Nova  S.A.U.,DLV00011321
673,Liana Editorial,DLV00096917
674,Libertarias Prodhufi  S.A.,DLV00009041
675,Librero IBP,DLV00016462
676,Librooks Barcelona S.L.L.,DLV00010481
677,Libros Cúpula,DLV00004586
678,Libros Disney,DLV00014581
679,Libros Libres,DLV00003642
680,Libros de Cabecera,DLV00011781
681,Libros de Seda S.L.,DLV00015522
682,Libros del Asteroide S.L.U.,DLV00001141
683,Libros del Futuro,DLV00099579
684,Libros del Kultrum,DLV00094475
685,Libros del Zorro Rojo,DLV00000794
686,Litera Libros,DLV00029884
687,Literatura Random House,DLV00003565
688,Llibres d'Ombrosa,DLV00012461
689,LoQueNoExiste,DLV00013581
690,Longman,DLV00034646
691,Los Cuatro Azules S.L.,DLV00008502
692,Los Libros de la Catarata,DLV00004781
693,Los Libros del Cristal,DLV00023552
694,Luciérnaga CAS,DLV00016961
695,Luciérnaga CAT,DLV00004905
696,Lunwerg Editores,DLV00004588
697,Lynx Edicions,DLV00004501
698,Lóguez Ediciones,DLV00001446
699,Machado Grupo de Distribución S.L.,DLV00004281
700,Macmillan,DLV00002821
701,Maeva Ediciones,DLV00008741
702,Magazzini Salani,DLV00070136
703,Magma Editorial  SC,DLV00088775
704,Maia Ediciones,DLV00014002
705,Malas Tierras Editorial,DLV00098215
706,Malinka Libros,DLV00013221
707,Manolito Books,DLV00085255
708,Marcial Pons Ediciones Jurídicas y Sociales  S.A.,DLV00001982
709,Marcial Pons Ediciones de Historia  S.A.,DLV00001941
710,Marcial Pons Librero,DLV00037050
711,Marcombo,DLV00000407
712,Marjal,DLV00002621
713,Marlow,DLV00044483
714,Marvel (Libros Disney),DLV00046243
715,MasQueOca Ediciones,DLV00093935
716,Maxi-Tusquets,DLV00016381
717,McGraw-Hill Interamericana de España S.L.,DLV00002361
718,Menoscuarto Ediciones,DLV00011041
719,Mensajero  S.A.,DLV00000781
720,Meracovia,DLV00064171
721,Michelin España Portugal S.A.,DLV00012422
722,Milenio Publicaciones S.L.,DLV00005581
723,Mina,DLV00004261
724,Ministerio de Agricultura y Pesca  Alimentación y Medio Ambiente. Secretaría General Técnica,DLV00016322
725,Ministerio de Asuntos Exteriores  Unión Europea y de Cooperación. Centro de Publicaciones,DLV00016341
726,Ministerio de Defensa. Subdirección General de Publicaciones y Patrimonio Cultural.,DLV00016921
727,Ministerio de Educación y Formación Profesional,DLV00008581
728,Ministerio de Educación  Cultura y Deporte. Área de Cultura,DLV00015222
729,Ministerio de Empleo y Seguridad Social,DLV00017181
730,Ministerio de Energía  Turismo y Agenda Digital,DLV00016001
731,Ministerio de Hacienda-Secretaría General Técnica- SGIDP,DLV00016022
732,Ministerio de Hacienda-Secretaría General Técnica- SGIDP,DLV00016022
733,Ministerio de Justicia. Secretaría General Técnica. Centro de Publicaciones,DLV00014482
734,Ministerio de Justicia. Secretaría General Técnica. Centro de Publicaciones,DLV00014482
735,Ministerio de Sanidad  Consumo y Bienestar Social,DLV00031163
736,Ministerio de la Presidencia. Secretaría General Técnica,DLV00015601
737,Ministerio del Interior. Secretaría General Técnica,DLV00016721
738,Miraguano Ediciones,DLV00000346
739,Miscelánea,DLV00006581
740,Mobil Books,DLV00038690
741,Mondadori/Anagrama,DLV00015161
742,Monte Carmelo,DLV00013901
743,Montena,DLV00003566
744,Mr. Momo,DLV00079486
745,MueveTuLengua,DLV00022622
746,Museo Nacional Centro de Arte Reina Sofía,DLV00015228
747,Museo Nacional del Prado,DLV00015227
748,Máximo Potencial,DLV00046343
749,MésLlibres,DLV00079487
750,Nana Vizcacha,DLV00090315
751,Narcea  S.A. de Ediciones,DLV00000549
752,Narval Editores S.L.,DLV00015341
753,National Geographic,DLV00005982
754,Naturart,DLV00000841
755,Navona Editorial,DLV00013202
756,Neo Person,DLV00006847
757,Nivola Libros y Ediciones  S.L.,DLV00001101
758,Nocturna Ediciones,DLV00009901
759,Noguer Ediciones,DLV00011006
760,Nola Editores,DLV00080344
761,Nova,DLV00086355
762,Nova Casa Editorial,DLV00029283
763,Now Books,DLV00025787
764,Nube de Tinta,DLV00013701
765,NubeOcho,DLV00027924
766,Nórdica Libros,DLV00002441
767,OQO Editora,DLV00000732
768,Oberon,DLV00000370
769,Obrador Editorial  SL,DLV00094258
770,Obrador Edèndum  SL,DLV00016461
771,Océano Ambar,DLV00012281
772,Océano Travesía,DLV00012303
773,Olelibros.com,DLV00025023
774,Omicron,DLV00006523
775,Onada Edicions SL,DLV00010161
776,Osprey,DLV00007581
777,Oxford University Press España  S.A.,DLV00002681
778,Oz Editorial,DLV00015421
779,PPC Editorial,DLV00004081
780,Pagès Editors  S.L.,DLV00000801
781,Paidotribo,DLV00004381
782,Pamiela Argitaletxea,DLV00003482
783,Panini España S.A.,DLV00015121
784,Papers On Demand,DLV00005522
785,Papers amb Accent,DLV00005523
786,Para Dummies,DLV00011007
787,Parramón,DLV00013381
788,Pastel de Luna,DLV00047303
789,Patrimonio Nacional,DLV00020001
790,Patronato de la Alhambra y Generalife,DLV00037149
791,Pearson Educación,DLV00001601
792,Penguin Clásicos,DLV00045149
793,Pentian,DLV00079483
794,Pepitas de calabaza,DLV00015682
795,Perifèric Edicions  S.L.,DLV00002022
796,Periférica,DLV00009661
797,Picarona,DLV00015502
798,Piles  Editorial de Música  S.A.,DLV00002044
799,Pirueta,DLV00006521
800,Plan B (Ediciones B),DLV00075903
801,Planeta CAT,DLV00004941
802,Planeta DeAgostini,DLV00015941
803,Planeta DeAgostini Cómics,DLV00012441
804,Planeta DeAgostini Formación,DLV00016621
805,Planeta Gastro,DLV00066419
806,Planeta Gifts,DLV00081563
807,Planeta Junior,DLV00004601
808,Planetalector,DLV00011008
809,Plata,DLV00008824
810,Plataforma Editorial S.L.,DLV00004681
811,Plaza & Janés,DLV00003567
812,Plaza y Valdes  S.L.,DLV00005721
813,Plot Ediciones  S.L.,DLV00000683
814,Poligrafa Artbooks,DLV00011941
815,Praxis,DLV00090535
816,Prensas de la Universidad de Zaragoza,DLV00003801
817,Prentice Hall,DLV00034644
818,Principal de los Libros,DLV00009321
819,Proa,DLV00004241
820,Procompal Publicaciones,DLV00023323
821,Profit Editorial,DLV00005464
822,Publicaciones Universidad de León,DLV00005701
823,Publicaciones Vértice  S.L,DLV00026316
824,Publicaciones y Ediciones Salamandra S.A.,DLV00010181
825,Publicacions Institucionals UA,DLV00064973
826,Publicacions Universitat Alacant,DLV00002061
827,Publicacions Universitat Rovira i Virgili,DLV00005021
828,Publicacions de l'Abadia de Montserrat  S.A.,DLV00000798
829,Publicacions de la Universitat de València,DLV00002021
830,Publicacions i Edicions de la Universitat de Barcelona,DLV00005281
831,Publicatulibro,DLV00099277
832,Puck,DLV00008829
833,Punto de Lectura,DLV00000462
834,Punto de Vista Editores,DLV00061070
835,Páginas de Espuma SL,DLV00001223
836,Quaderns Crema,DLV00003401
837,Quaterni,DLV00016363
838,Queralt Edicions  S.L.,DLV00014561
839,RAE,DLV00030204
840,RBA Bolsillo,DLV00005961
841,RBA El Jueves,DLV00006021
842,RBA Integral,DLV00005983
843,RBA La Magrana,DLV00006003
844,RBA Libros,DLV00005942
845,RBA Molino,DLV00006001
846,RBA Satén,DLV00007961
847,RBA Serres,DLV00006002
848,RC Libros,DLV00016364
849,RM Verlag  S.L.,DLV00005061
850,Rafael Dalmau  Editor,DLV00010242
851,Random,DLV00015162
852,Random Cómic,DLV00084156
853,Rata,DLV00062011
854,Rayo Verde Editorial  S.L.,DLV00013081
855,Real Academia de la Historia,DLV00012741
856,Reino de Cordelia S.L.,DLV00010101
857,Reino de Redonda,DLV00080909
858,Reservoir Books,DLV00045225
859,Revista Altaïr S.L.,DLV00007083
860,Richmond,DLV00004001
861,Rigden Institut Gestalt,DLV00010141
862,Roca Bolsillo,DLV00006961
863,Roca Editorial,DLV00005761
864,Rodeira,DLV00000722
865,Romana,DLV00037628
866,Rosa dels Vents,DLV00003569
867,Rubiños 1860,DLV00036868
868,S.G.E.L.,DLV00002241
869,Saga editorial,DLV00012501
870,Sagarmata,DLV00004901
871,Sajalín Editores,DLV00009981
872,Salamandra Black,DLV00026682
873,Salamandra Blue,DLV00055483
874,Salamandra Català,DLV00036989
875,Salamandra Digital,DLV00027661
876,Salamandra Fun & Food,DLV00034704
877,Salamandra Graphic,DLV00027662
878,Sallybooks,DLV00016863
879,Salsa Books CAS,DLV00016962
880,Salsa Books CAT,DLV00004902
881,Samarcanda,DLV00079484
882,San Pablo  Editorial,DLV00011601
883,Santa & Cole,DLV00051963
884,Santillana Canarias,DLV00007741
885,Santillana Deutsch,DLV00017042
886,Santillana Ediciones Generales S.L.,DLV00000461
887,Santillana Educación  S.L.,DLV00000406
888,Santillana Français,DLV00004021
889,Santillana Illes Balears,DLV00007761
890,Sapristi,DLV00035663
891,Satori Ediciones,DLV00012402
892,Scyla eBooks,DLV00012362
893,Sd edicions,DLV00014501
894,Secretariado Trinitario,DLV00007721
895,Secretaría General Técnica. Ministerio de Economía y Empresa. Centro de Publicaciones,DLV00015741
896,Seda Editorial,DLV00072805
897,Selecta,DLV00004183
898,Sello Editorial  S.L.,DLV00011901
899,Sembra Llibres Coop. V.,DLV00022181
900,Servei de Publicacions de la Universitat Autònoma de Barcelona,DLV00006221
901,Servicio Comercial del Libro,DLV00016365
902,Servicio de Publicaciones - Universidad de Huelva,DLV00008681
903,Servicio de Publicaciones Diputación de Castellón,DLV00015401
904,Servicio de Publicaciones de la Universidad de Cádiz,DLV00004122
905,Servicio de Publicaciones de la Universidad de La Laguna,DLV00012921
906,Servicio de Publicaciones de la Universidad de Oviedo,DLV00006341
907,Servicio de Publicaciones y Difusión Científica de la Universidad de Las Palmas de Gran Canaria,DLV00007401
908,Servicio de Publicaciones y Divulgación Científica de la Universidad de Málaga,DLV00005042
909,Servizo de Publicacións da Universidade de Vigo,DLV00005841
910,Servizo de Publicacións e Intercambio Científico da USC,DLV00005901
911,Sigilo Editorial,DLV00092057
912,Signo Editores,DLV00028928
913,Silonia,DLV00034983
914,Simple & Bello,DLV00081383
915,Singular,DLV00091306
916,Siruela,DLV00000545
917,Sitara,DLV00077223
918,Sociedad Editorial Electa España,DLV00003562
919,Sombras,DLV00016241
920,Sua Edizioak,DLV00002922
921,Suma,DLV00003962
922,Susaeta Ediciones,DLV00013501
923,Sílex ediciones S.L.,DLV00000554
924,Símbol Editors,DLV00009401
925,TASCHEN,DLV00014941
926,TEA Ediciones  S.A.U.,DLV00003081
927,Tabarca Llibres,DLV00002028
928,Takatuka,DLV00015921
929,Talismán,DLV00004906
930,Tandem Edicions  S.L.,DLV00002025
931,Taurus,DLV00003981
932,Tebeos Dolmen Editorial  S.L.,DLV00015181
933,Teell Editorial  S.L.,DLV00053043
934,Temporae Libros,DLV00013281
935,Tempus,DLV00006522
936,Tendencias,DLV00008828
937,Terapias Verdes,DLV00012022
938,Terciopelo,DLV00006501
939,Text-la Galera,DLV00015882
940,The Way to Happiness Foundation,DLV00053747
941,Thule Ediciones SL,DLV00003881
942,Tibidabo Ediciones  S.A.,DLV00002321
943,Tikal Ediciones,DLV00013522
944,Tilde,DLV00002043
945,Timun Mas CAT,DLV00004942
946,Timun Mas Infantil,DLV00004621
947,Timun Mas Narrativa,DLV00004622
948,Titania,DLV00008830
949,Tombooktu,DLV00014222
950,Trama Editorial  S.L.,DLV00001462
951,Trampa Ediciones  S.L.,DLV00093036
952,Tramuntana Editorial,DLV00013481
953,Trapella Books,DLV00007521
954,Trasantier,DLV00032045
955,Tres Hermanas,DLV00055203
956,Triangle Postals  S.L.,DLV00001201
957,Trifaldi Producciones Multimedia S.L.,DLV00014781
958,Trotamundos,DLV00012941
959,Ttarttalo  S.L.,DLV00000762
960,Tundra,DLV00014661
961,Tundra,DLV00014661
962,Turner Publicaciones S.L.,DLV00004401
963,Tusquets Editores S.A.,DLV00004321
964,Txalaparta  S.L.,DLV00000784
965,Txertoa,DLV00003341
966,U.D. Publishing S.A. de C.V.,DLV00010601
967,UAM Ediciones,DLV00008481
968,UCOPress  Editorial Universidad de Córdoba,DLV00001062
969,UDL Digital,DLV00100356
970,UNED,DLV00003741
971,Umbriel,DLV00008823
972,Univers Llibres,DLV00098557
973,Universidad Complutense. Área Humanidades,DLV00065436
974,Universidad Complutense. Área de Ciencias Exactas y de la Naturaleza,DLV00065718
975,Universidad Complutense. Área de Ciencias Sociales,DLV00065719
976,Universidad Complutense. Área de Ciencias de la Salud,DLV00065717
977,Universidad Europea Miguel de Cervantes. Servicio de Publicaciones,DLV00005821
978,Universidad Internacional de Andalucía,DLV00008181
979,Universidad Internacional de La Rioja S.A.,DLV00016361
980,Universidad Pontificia Comillas (Publicaciones),DLV00001442
981,Universidad Pontificia de Salamanca,DLV00004981
982,Universidad Pública de Navarra/Nafarroako Unibertsitate Publikoa,DLV00006301
983,Universidad de Alcalá. Servicio de Publicaciones,DLV00004861
984,Universidad de Burgos. Servicio de Publicaciones e Imagen Institucional,DLV00004641
985,Universidad de Deusto,DLV00003221
986,Universidad de Extremadura. Servicio de Publicaciones,DLV00006182
987,Universidad de la Rioja. Servicio de publicaciones,DLV00003841
988,Universidad del País Vasco. Servicio Editorial=Euskal Herriko Unibertsitatea. Argitarapen Zerbitzua,DLV00000702
989,Universidade da Coruña  Servizo de Publicacións,DLV00004961
990,Universitat Jaume I. Servei de Comunicació i Publicacions,DLV00002024
991,Universitat Politècnica de Catalunya. Iniciativa Digital Politècnica,DLV00011462
992,Universitat de Girona. Servei de Publicacions,DLV00005121
993,Universo de Letras,DLV00077264
994,Uranito Internacional,DLV00066957
995,Urano,DLV00008822
996,Urgoiti Editores S.L.,DLV00009441
997,Valdemar,DLV00012601
998,Valparaíso Ediciones,DLV00024866
999,Vaso Roto Ediciones,DLV00014481
1000,Vaughan,DLV00015701
1001,Vegueta Ediciones S. L. / Vegueta Edicions S. L.,DLV00080943
1002,Vergara (Ediciones B),DLV00012481
1003,Vibooks,DLV00015361
1004,Viena,DLV00008262
1005,Visor libros  S.L.,DLV00000553
1006,Vivelibro (sello de Zasbook S.L.),DLV00014021
1007,Voliana Edicions,DLV00027382
1008,Vorwerk España Management S.L.  S.C.,DLV00072443
1009,Vox,DLV00003723
1010,Wolters Kluwer,DLV00008422
1011,Wunderkammer,DLV00071964
1012,Xerme Edicións  S.L.,DLV00004102
1013,Xordica Editorial,DLV00009421
1014,Yoyo,DLV00011009
1015,Zafiro eBooks,DLV00012361
1016,Zahorí de Ideas,DLV00071363
1017,Zasbook,DLV00105238
1018,Zenda Aventuras,DLV00099775
1019,Zenith Editorial,DLV00004623
1020,Zubia Editoriala  S.L.,DLV00000443
1021,ePraxis,DLV00013401
1022,ediciones Pàmies,DLV00011801
1023,enClave-ELE,DLV00007082
1024,laOficina,DLV00016282
1025,labutxaca,DLV00004182
1026,mtm Editores SL (Metafísica del Tercer Milenio SL),DLV00012021
1027,nuevosescritores,DLV00013162
1028,uvedebe,DLV00013181
1029,Àmsterdam,DLV00025786
1030,Ágora Relacional  S.L.,DLV00011101
1031,Ártabro Editora,DLV00013622
1032,Ático de los Libros,DLV00009302
1033,Úrsula Llibres,DLV00045923
